股票代码,股票名称,最终资产,总收益率,胜率,交易次数(对),最大回撤,夏普比率,总手续费,挂单重试(买/卖)
000503,国新健康,141481509.34,141381.51%,36.27%,284,78.62%,0.64,8325680.61,买1 | 卖0
000504,ST生物,50627361.14,50527.36%,40.88%,274,78.11%,0.6,2354094.9,买6 | 卖9
000004,ST国华,34556425.61,34456.43%,39.25%,293,77.03%,0.55,5571158.45,买5 | 卖46
000547,航天发展,30738876.26,30638.88%,36.53%,271,83.09%,0.6,567168.79,买10 | 卖1
000017,深中华A,28155600.86,28055.60%,39.68%,252,68.17%,0.43,2661585.12,买6 | 卖7
000566,海南海药,27799716.65,27699.72%,42.91%,268,54.09%,0.61,2371977.46,买1 | 卖3
600118,中国卫星,26494210.99,26394.21%,36.72%,256,67.89%,0.66,1070662.05,买3 | 卖1
000009,中国宝安,25320650.85,25220.65%,35.00%,300,67.59%,0.55,1483081.08,买0 | 卖0
000692,惠天热电,24897149.58,24797.15%,40.68%,236,97.25%,0.61,1993783.42,买1 | 卖3
000603,盛达资源,24626368.86,24526.37%,41.74%,218,50.72%,0.71,576157.04,买11 | 卖15
600052,东望时代,20702523.11,20602.52%,34.35%,230,95.21%,0.63,950298.86,买3 | 卖0
000568,泸州老窖,18755947.6,18655.95%,39.57%,278,46.36%,0.62,1718494.51,买0 | 卖0
000831,中国稀土,16985432.0,16885.43%,39.04%,228,62.94%,0.59,643692.06,买1 | 卖1
000034,神州数码,16567029.91,16467.03%,43.15%,248,73.64%,0.59,800493.07,买10 | 卖13
000008,神州高铁,16332200.96,16232.20%,33.92%,286,65.69%,0.51,1858263.02,买4 | 卖3
000565,渝三峡Ａ,16165165.45,16065.17%,34.83%,290,72.91%,0.53,993601.54,买0 | 卖0
000559,万向钱潮,14687685.52,14587.69%,35.07%,288,58.02%,0.54,544939.58,买0 | 卖0
000420,吉林化纤,14648798.81,14548.80%,37.74%,265,94.26%,0.54,475701.14,买2 | 卖5
000011,深物业A,14576915.69,14476.92%,39.52%,291,66.22%,0.53,1173462.31,买4 | 卖0
000426,兴业银锡,14256612.87,14156.61%,38.98%,254,93.87%,0.56,515727.25,买0 | 卖0
000686,东北证券,13934408.78,13834.41%,35.32%,252,59.95%,0.29,1097955.39,买1 | 卖0
000655,金岭矿业,13835840.12,13735.84%,40.25%,241,68.48%,0.58,1651640.97,买7 | 卖8
000506,招金黄金,13569307.83,13469.31%,35.00%,260,79.25%,0.52,199178.05,买9 | 卖5
000002,万  科Ａ,13355505.43,13255.51%,35.91%,323,85.98%,0.5,1458210.55,买7 | 卖2
000040,ST旭蓝,13315705.61,13215.71%,38.40%,250,98.37%,0.42,1160788.34,买1 | 卖3
000006,深振业Ａ,12762585.47,12662.59%,37.01%,281,62.57%,0.5,649266.46,买1 | 卖1
000021,深科技,12535261.11,12435.26%,36.99%,292,77.00%,0.5,814688.82,买0 | 卖1
000576,甘化科工,12276435.3,12176.44%,36.77%,291,88.32%,0.52,672823.69,买0 | 卖1
000690,宝新能源,11918982.12,11818.98%,38.34%,253,63.78%,0.64,997133.88,买0 | 卖1
000670,盈方微,11489582.91,11389.58%,35.48%,155,93.63%,0.41,322278.11,买5 | 卖5
000737,北方铜业,11124571.24,11024.57%,38.98%,254,88.20%,0.55,399101.73,买1 | 卖1
000562,宏源证券,10680451.27,10580.45%,42.70%,178,55.90%,0.72,135962.71,买3 | 卖3
000783,长江证券,10490850.22,10390.85%,39.66%,232,51.00%,0.35,868824.72,买1 | 卖0
000540,ST中天,10420667.88,10320.67%,38.71%,248,66.42%,0.55,1091974.1,买2 | 卖2
002006,精工科技,10388912.42,10288.91%,43.96%,182,58.98%,0.72,478706.51,买0 | 卖1
000066,中国长城,9948730.15,9848.73%,40.00%,235,50.73%,0.59,398650.93,买0 | 卖0
600131,国网信通,9549286.34,9449.29%,35.77%,246,69.31%,0.58,625809.76,买0 | 卖0
000776,广发证券,9007252.66,8907.25%,36.82%,220,61.69%,0.35,516988.37,买2 | 卖0
000661,长春高新,8873346.1,8773.35%,38.76%,258,65.44%,0.52,680750.97,买1 | 卖3
600135,乐凯胶片,8796715.05,8696.72%,44.07%,236,60.80%,0.62,548144.96,买3 | 卖1
600089,特变电工,8667741.49,8567.74%,40.33%,243,58.19%,0.57,469272.58,买5 | 卖0
000738,航发控制,8446358.26,8346.36%,36.33%,256,65.41%,0.54,803089.8,买9 | 卖1
000635,英 力 特,8172673.39,8072.67%,37.74%,257,65.92%,0.51,695935.66,买1 | 卖4
000407,胜利股份,8105004.76,8005.00%,39.00%,259,68.46%,0.53,531409.3,买2 | 卖1
000007,全新好,7982786.84,7882.79%,35.19%,287,75.53%,0.47,761949.07,买8 | 卖11
000682,东方电子,7827887.69,7727.89%,34.82%,247,63.13%,0.56,556811.23,买2 | 卖1
000037,深南电A,7641666.97,7541.67%,38.64%,264,61.20%,0.51,363515.99,买0 | 卖3
000035,中国天楹,7630810.65,7530.81%,39.84%,246,62.21%,0.53,799853.38,买2 | 卖5
000628,高新发展,7522673.49,7422.67%,34.98%,243,73.25%,0.55,126507.55,买14 | 卖10
000513,丽珠集团,7198816.86,7098.82%,40.07%,272,52.06%,0.5,568539.17,买1 | 卖2
001696,宗申动力,7188222.22,7088.22%,37.45%,243,54.03%,0.57,221129.88,买4 | 卖0
000425,徐工机械,7117513.78,7017.51%,36.82%,277,71.77%,0.49,615816.21,买1 | 卖0
000615,ST美谷,7055480.59,6955.48%,36.43%,258,83.48%,0.5,268170.36,买8 | 卖7
000502,绿景退,6983580.12,6883.58%,35.92%,245,89.68%,0.48,696579.86,买2 | 卖0
000036,华联控股,6940094.49,6840.09%,36.86%,274,65.72%,0.49,509900.59,买6 | 卖1
000516,国际医学,6814161.88,6714.16%,38.35%,279,65.40%,0.47,474771.05,买3 | 卖2
000616,ST海投,6669114.03,6569.11%,39.15%,212,74.39%,0.56,700601.87,买1 | 卖4
000587,ST金洲,6453985.5,6353.99%,36.45%,203,82.03%,0.54,721365.46,买5 | 卖17
000408,藏格矿业,6419807.73,6319.81%,35.69%,255,97.47%,0.53,236682.26,买8 | 卖11
000514,渝 开 发,6095036.17,5995.04%,35.09%,285,67.43%,0.45,433811.94,买3 | 卖4
000048,京基智农,5964542.56,5864.54%,39.26%,270,59.25%,0.49,353629.3,买0 | 卖6
000001,平安银行,5647054.85,5547.05%,34.77%,302,64.88%,0.46,588930.14,买1 | 卖13
000630,铜陵有色,5574683.76,5474.68%,38.84%,242,69.25%,0.5,349800.2,买0 | 卖3
000799,酒鬼酒,5444756.19,5344.76%,38.02%,242,84.78%,0.49,419208.74,买3 | 卖6
000718,苏宁环球,5393593.07,5293.59%,36.07%,244,97.50%,0.2,616575.96,买1 | 卖1
000595,ST宝实,5345940.14,5245.94%,37.80%,254,65.57%,0.48,208715.95,买2 | 卖1
000050,深天马Ａ,5292934.11,5192.93%,36.78%,261,66.16%,0.48,547313.94,买3 | 卖1
000829,天音控股,5291245.37,5191.25%,38.43%,242,72.50%,0.52,255713.7,买2 | 卖1
000889,中嘉博创,5178883.87,5078.88%,38.63%,233,96.79%,0.55,512113.11,买18 | 卖6
000598,兴蓉环境,5132856.52,5032.86%,38.81%,268,73.35%,0.47,530240.5,买1 | 卖2
001914,招商积余,5104938.26,5004.94%,36.23%,265,78.47%,0.47,224272.66,买1 | 卖0
000031,大悦城,5007229.17,4907.23%,34.77%,279,77.92%,0.45,890024.96,买0 | 卖0
600105,永鼎股份,4948552.43,4848.55%,40.08%,252,96.64%,0.49,160006.64,买2 | 卖0
002009,天奇股份,4886952.22,4786.95%,42.93%,184,49.61%,0.62,110345.84,买0 | 卖1
000758,中色股份,4872480.37,4772.48%,36.86%,255,67.94%,0.49,488559.71,买0 | 卖2
000626,远大控股,4759409.28,4659.41%,36.99%,246,52.99%,0.49,367644.67,买6 | 卖4
000065,北方国际,4552474.22,4452.47%,39.00%,241,67.23%,0.5,152665.86,买0 | 卖1
000062,深圳华强,4533483.57,4433.48%,38.52%,244,82.12%,0.48,286680.46,买1 | 卖0
000572,海马汽车,4416455.27,4316.46%,35.89%,287,72.91%,0.44,184207.73,买16 | 卖6
000819,岳阳兴长,4368732.55,4268.73%,35.98%,264,69.51%,0.48,327754.52,买0 | 卖0
600076,康欣新材,4275823.49,4175.82%,39.25%,214,98.86%,0.56,119177.53,买13 | 卖1
000676,智度股份,4233716.33,4133.72%,37.25%,255,95.73%,0.48,1127250.61,买3 | 卖2
000722,湖南发展,4228804.52,4128.80%,35.11%,225,98.76%,0.64,375990.47,买1 | 卖4
000610,西安旅游,4205174.06,4105.17%,35.71%,266,63.37%,0.46,394968.85,买1 | 卖0
000858,五 粮 液,4076824.77,3976.82%,40.57%,244,44.82%,0.56,285294.26,买0 | 卖0
000046,ST泛海,4072789.12,3972.79%,31.75%,252,84.81%,0.46,1137393.8,买2 | 卖12
000795,英洛华,4016946.41,3916.95%,36.40%,250,87.25%,0.47,304825.49,买1 | 卖0
000833,粤桂股份,3972488.21,3872.49%,35.32%,235,64.48%,0.51,101301.79,买6 | 卖0
000537,绿发电力,3953205.07,3853.21%,35.56%,284,78.38%,0.43,478130.9,买1 | 卖1
000733,振华科技,3842020.98,3742.02%,34.38%,256,70.51%,0.47,289444.09,买2 | 卖1
600030,中信证券,3762771.31,3662.77%,43.94%,198,55.24%,0.61,175793.68,买3 | 卖2
000935,四川双马,3703848.41,3603.85%,36.53%,219,60.30%,0.51,172491.58,买1 | 卖3
002131,利欧股份,3591084.66,3491.08%,36.91%,149,61.74%,0.68,54761.36,买6 | 卖0
000657,中钨高新,3519284.85,3419.28%,39.48%,233,75.26%,0.49,190822.15,买0 | 卖3
000961,ST中南,3462687.94,3362.69%,37.07%,205,72.15%,0.51,372404.14,买1 | 卖1
000748,长城信息,3455822.06,3355.82%,44.30%,158,52.76%,0.6,89640.97,买0 | 卖0
000975,山金国际,3447453.63,3347.45%,38.94%,226,60.17%,0.54,212208.35,买1 | 卖2
600111,北方稀土,3391560.54,3291.56%,35.11%,262,66.86%,0.45,221951.36,买0 | 卖1
